email_id,class_label,secondary_label,is_multi_intent,is_ambiguous,is_spam,language,tone,sender_profile,email_length,noise_level,channel,temperature,top_p,top_k,seed,model_assigned
78905776-328,reclamacion_factura,,False,False,False,es,formal,autónomo,medio,alto,reenvio_tercero,0.84,0.46,72,23111,deepseek/deepseek-r1-0528-qwen3-8b
ad4d1c7e-986,factura_error,vehiculo_electrico,True,False,True,es,técnico,particular_enfadado,medio,alto,webform,0.73,0.75,38,64994,google/gemma-4-e4b
229d75a4-aab,alta_consumo_anomalo,,False,False,False,en,técnico,abogado,medio,limpio,webform,1.04,0.48,35,83836,deepseek/deepseek-r1-0528-qwen3-8b
d084b222-c1f,consulta_eficiencia,,False,False,False,en,desesperado,jubilado,medio,limpio,email_directo,0.88,0.56,72,40388,google/gemma-4-e4b
366610f0-dce,solicitud_aplazamiento,,False,False,False,es,confuso,cliente_residencial,medio,moderado,respuesta_cadena,0.93,0.59,51,6334,deepseek/deepseek-r1-0528-qwen3-8b
22e36071-0ce,spam_energia,,False,False,True,es,desesperado,particular_enfadado,largo,limpio,reenvio_tercero,1.04,0.49,79,52397,google/gemma-4-e4b
2e47f3a6-c1c,solicitud_nuevo_contrato,,False,False,False,es,agresivo,jubilado,largo,limpio,email_directo,0.92,0.47,74,41615,deepseek/deepseek-r1-0528-qwen3-8b
c3825efa-31f,baja_contrato,,False,False,True,es,técnico,abogado,medio,limpio,respuesta_cadena,1.0,0.62,35,57074,google/gemma-4-e4b
bd295eef-be8,reclamacion_factura,,False,False,False,es,cortés,particular_enfadado,corto,limpio,respuesta_cadena,0.75,0.73,59,76751,deepseek/deepseek-r1-0528-qwen3-8b
0c6d4147-4ee,alta_consumo_anomalo,baja_contrato,True,False,False,es,cortés,jubilado,largo,moderado,app_movil,0.74,0.66,57,72516,google/gemma-4-e4b
52b00852-3b6,corte_suministro,,False,False,False,es,urgente,cliente_empresarial,medio,limpio,email_directo,0.83,0.51,31,88435,deepseek/deepseek-r1-0528-qwen3-8b
4934e888-db3,reclamacion_factura,fraude_energetico,True,False,False,es,urgente,jubilado,corto,moderado,email_directo,1.0,0.68,46,79098,google/gemma-4-e4b
00244b42-e99,solicitud_cambio_tarifa,,False,False,False,en,informal,cliente_residencial,medio,limpio,respuesta_cadena,0.67,0.6,48,96742,deepseek/deepseek-r1-0528-qwen3-8b
b98aa388-8d4,fuga_gas,phishing_energia,True,False,False,es,técnico,jubilado,muy_corto,moderado,app_movil,0.83,0.55,59,42950,google/gemma-4-e4b
b110683e-4a0,cambio_titular,,False,False,False,es,desesperado,cliente_residencial,medio,limpio,respuesta_cadena,0.98,0.72,65,5737,deepseek/deepseek-r1-0528-qwen3-8b
cfc30164-e8e,consulta_lectura_contador,,False,False,False,es,cortés,autónomo,medio,limpio,respuesta_cadena,0.72,0.54,37,54334,google/gemma-4-e4b
b83a6feb-c6d,programa_fidelizacion,fraude_energetico,True,False,False,es,informal,cliente_residencial,medio,alto,app_movil,0.9,0.51,46,13141,deepseek/deepseek-r1-0528-qwen3-8b
8691b49a-300,averia_contador,consulta_juridica,True,False,False,es,cortés,cliente_empresarial,largo,leve,email_directo,0.68,0.62,50,10822,google/gemma-4-e4b
da46d796-47a,consulta_lectura_contador,,False,True,False,es,agresivo,abogado,corto,moderado,reenvio_tercero,0.65,0.51,42,24783,deepseek/deepseek-r1-0528-qwen3-8b
03b015b0-663,factura_duplicada,,False,False,True,es,formal,autónomo,medio,leve,reenvio_tercero,0.78,0.44,72,13380,google/gemma-4-e4b
4258f5f0-224,baja_contrato,,False,False,False,en,técnico,jubilado,medio,limpio,email_directo,0.97,0.55,70,95516,deepseek/deepseek-r1-0528-qwen3-8b
4b813cba-b23,averia_contador,bono_social,True,False,False,es,urgente,cliente_empresarial,medio,limpio,reenvio_tercero,0.67,0.75,35,56192,google/gemma-4-e4b
44cfeff0-228,consulta_eficiencia,,False,False,False,es,agresivo,particular_enfadado,muy_largo,leve,reenvio_tercero,0.8,0.54,42,96866,deepseek/deepseek-r1-0528-qwen3-8b
6fda877c-2ee,corte_suministro,consulta_lectura_contador,True,False,True,en,desesperado,cliente_residencial,largo,leve,respuesta_cadena,0.94,0.78,44,57308,google/gemma-4-e4b
7cfbe564-c7b,alta_consumo_anomalo,,False,False,False,en,urgente,particular_enfadado,largo,leve,reenvio_tercero,0.8,0.69,40,57539,deepseek/deepseek-r1-0528-qwen3-8b
244f7d8b-373,factura_error,,False,True,True,es,urgente,jubilado,corto,limpio,app_movil,0.84,0.53,37,7634,google/gemma-4-e4b
cd53eebb-214,cambio_domiciliacion,,False,True,False,en,técnico,abogado,medio,limpio,email_directo,0.85,0.46,64,73367,deepseek/deepseek-r1-0528-qwen3-8b
373406f0-f4f,fuga_gas,,False,False,False,es,técnico,particular_enfadado,largo,limpio,reenvio_tercero,1.01,0.61,72,48225,google/gemma-4-e4b
c5b177e4-8da,programa_fidelizacion,spam_energia,True,False,False,es,cortés,particular_enfadado,largo,limpio,reenvio_tercero,1.0,0.76,64,46906,deepseek/deepseek-r1-0528-qwen3-8b
3d34e216-8ec,cambio_domiciliacion,respuesta_automatica,True,False,False,es,urgente,particular_enfadado,medio,leve,email_directo,0.68,0.5,64,93882,google/gemma-4-e4b
934445ce-7e8,reclamacion_factura,,False,False,True,es,urgente,cliente_empresarial,medio,moderado,app_movil,0.93,0.4,30,90423,deepseek/deepseek-r1-0528-qwen3-8b
0252c7ee-8cb,consulta_tarifas_pvpc,,False,False,False,es,agresivo,autónomo,largo,limpio,app_movil,0.87,0.36,34,53420,google/gemma-4-e4b
476c6226-61e,corte_suministro,,False,False,False,es,agresivo,jubilado,largo,limpio,webform,0.79,0.55,58,10916,deepseek/deepseek-r1-0528-qwen3-8b
e1d23150-e04,corte_suministro,,False,False,False,es,técnico,cliente_empresarial,medio,leve,respuesta_cadena,0.85,0.51,61,77067,google/gemma-4-e4b
e20ebf18-dac,fuga_gas,,False,False,False,es,técnico,abogado,medio,limpio,reenvio_tercero,1.0,0.55,33,80243,deepseek/deepseek-r1-0528-qwen3-8b
fefca5b9-e56,reclamacion_factura,factura_error,True,False,False,es,desesperado,cliente_empresarial,medio,limpio,reenvio_tercero,0.96,0.53,66,7600,google/gemma-4-e4b
a321d910-2fd,consulta_tarifas_pvpc,,False,False,False,es,informal,abogado,corto,moderado,app_movil,0.88,0.58,75,47768,deepseek/deepseek-r1-0528-qwen3-8b
a6228469-86c,incidencia_apagón,,False,False,False,es,informal,particular_enfadado,muy_corto,leve,webform,0.72,0.45,62,27740,google/gemma-4-e4b
2f751d43-df0,emergencia_gas,,False,False,True,es,confuso,jubilado,corto,limpio,reenvio_tercero,0.9,0.53,66,45489,deepseek/deepseek-r1-0528-qwen3-8b
bfb42882-014,consulta_tarifas_pvpc,,False,True,False,es,agresivo,cliente_residencial,largo,moderado,respuesta_cadena,0.85,0.51,67,80377,google/gemma-4-e4b
0cfbd330-0ea,consulta_tarifas_pvpc,consulta_juridica,True,False,False,es,confuso,jubilado,corto,limpio,respuesta_cadena,0.83,0.55,66,56852,deepseek/deepseek-r1-0528-qwen3-8b
296f2cde-3e7,averia_contador,,False,True,False,es,informal,abogado,largo,leve,app_movil,1.03,0.52,56,19177,google/gemma-4-e4b
87d10572-87e,factura_error,,False,True,False,en,urgente,abogado,medio,limpio,webform,1.05,0.61,67,47479,deepseek/deepseek-r1-0528-qwen3-8b
26ec10e1-0ca,cambio_titular,otro_irrelevante,True,False,False,es,urgente,cliente_residencial,medio,moderado,webform,1.03,0.64,30,67632,google/gemma-4-e4b
a5cb5fa3-a61,solicitud_cambio_tarifa,fraude_energetico,True,False,False,es,agresivo,abogado,corto,limpio,reenvio_tercero,0.95,0.49,39,85369,deepseek/deepseek-r1-0528-qwen3-8b
78aca975-1d9,cambio_titular,,False,False,False,en,informal,particular_enfadado,corto,limpio,app_movil,0.89,0.65,53,12529,google/gemma-4-e4b
66b56268-a30,bono_social,,False,False,False,es,técnico,autónomo,largo,moderado,email_directo,0.78,0.74,35,24036,deepseek/deepseek-r1-0528-qwen3-8b
ab4894eb-606,solicitud_cambio_tarifa,,False,False,False,es,cortés,jubilado,muy_largo,limpio,webform,1.03,0.67,52,27845,google/gemma-4-e4b
5e015949-2d5,factura_error,,False,False,False,es,formal,cliente_empresarial,medio,limpio,respuesta_cadena,0.83,0.67,52,12664,deepseek/deepseek-r1-0528-qwen3-8b
47e69529-ce3,averia_contador,,False,False,False,es,confuso,autónomo,largo,limpio,email_directo,0.73,0.65,54,39506,google/gemma-4-e4b
c4578472-d99,averia_contador,,False,False,False,es,formal,abogado,muy_largo,limpio,respuesta_cadena,0.69,0.49,64,64004,deepseek/deepseek-r1-0528-qwen3-8b
7f0b71d3-5e1,fuga_gas,reclamacion_calidad,True,False,False,en,desesperado,particular_enfadado,corto,limpio,app_movil,0.98,0.76,47,60908,google/gemma-4-e4b
fe85f327-193,consulta_tarifas_pvpc,,False,False,False,es,informal,particular_enfadado,medio,limpio,respuesta_cadena,0.78,0.39,79,75121,deepseek/deepseek-r1-0528-qwen3-8b
77dbedc2-587,cambio_domiciliacion,,False,False,False,es,cortés,autónomo,corto,leve,webform,0.96,0.44,31,33015,google/gemma-4-e4b
b6f8bf91-7a7,fuga_gas,,False,False,False,es,desesperado,cliente_empresarial,muy_corto,limpio,respuesta_cadena,0.9,0.4,43,49529,deepseek/deepseek-r1-0528-qwen3-8b
c6215ef5-7eb,cambio_titular,,False,False,False,es,informal,cliente_empresarial,medio,alto,email_directo,0.76,0.53,73,92083,google/gemma-4-e4b
f9d43675-ced,factura_duplicada,,False,False,True,es,técnico,abogado,largo,moderado,reenvio_tercero,0.99,0.66,75,65116,deepseek/deepseek-r1-0528-qwen3-8b
5f2c65f3-ebc,alta_consumo_anomalo,factura_error,True,False,False,es,urgente,particular_enfadado,medio,limpio,email_directo,0.99,0.42,74,43342,google/gemma-4-e4b
5f2f65c0-784,factura_error,baja_contrato,True,False,False,es,técnico,cliente_empresarial,medio,limpio,email_directo,0.72,0.76,33,48120,deepseek/deepseek-r1-0528-qwen3-8b
d0974178-c2f,corte_suministro,,False,False,False,en,informal,particular_enfadado,muy_largo,limpio,webform,0.7,0.62,53,26313,google/gemma-4-e4b
8ead5e38-ff9,programa_fidelizacion,,False,False,True,es,informal,abogado,corto,limpio,webform,0.89,0.75,45,83261,deepseek/deepseek-r1-0528-qwen3-8b
15bcf895-748,reclamacion_factura,corte_suministro,True,False,True,es,técnico,cliente_empresarial,muy_largo,alto,app_movil,0.74,0.59,33,39212,google/gemma-4-e4b
bfeb8d0b-fa6,alta_consumo_anomalo,emergencia_gas,True,False,False,es,formal,jubilado,medio,limpio,app_movil,0.78,0.58,50,71105,deepseek/deepseek-r1-0528-qwen3-8b
214738cb-3d2,consulta_autoconsumo,,False,False,False,es,confuso,jubilado,muy_largo,moderado,respuesta_cadena,1.02,0.76,31,56928,google/gemma-4-e4b
6235f77d-15c,alta_consumo_anomalo,,False,False,False,es,técnico,autónomo,largo,limpio,respuesta_cadena,0.72,0.75,47,96012,deepseek/deepseek-r1-0528-qwen3-8b
97c21fc3-841,consulta_eficiencia,,False,False,True,es,urgente,cliente_empresarial,muy_corto,alto,respuesta_cadena,0.84,0.63,58,29965,google/gemma-4-e4b
1f903447-d60,reclamacion_factura,,False,False,False,es,formal,particular_enfadado,medio,moderado,reenvio_tercero,0.77,0.36,71,60558,deepseek/deepseek-r1-0528-qwen3-8b
69cc08fd-33e,baja_contrato,,False,False,False,es,técnico,cliente_residencial,medio,limpio,respuesta_cadena,0.79,0.36,34,71117,google/gemma-4-e4b
fc60b992-d86,averia_contador,,False,False,False,es,desesperado,jubilado,medio,leve,email_directo,0.8,0.32,51,67480,deepseek/deepseek-r1-0528-qwen3-8b
410a569d-0ec,emergencia_gas,,False,False,True,es,desesperado,abogado,corto,moderado,email_directo,0.75,0.37,50,91978,google/gemma-4-e4b
052fb358-1fb,baja_contrato,,False,True,True,en,cortés,cliente_empresarial,medio,leve,respuesta_cadena,0.96,0.56,68,53170,deepseek/deepseek-r1-0528-qwen3-8b
5f8730b2-dd0,corte_suministro,spam_energia,True,False,False,es,técnico,jubilado,medio,alto,webform,0.97,0.51,42,41788,google/gemma-4-e4b
d0ef0b58-f60,corte_suministro,,False,True,False,en,cortés,cliente_empresarial,corto,limpio,app_movil,0.87,0.63,74,54407,deepseek/deepseek-r1-0528-qwen3-8b
9fbb6895-0f9,respuesta_automatica,,False,False,True,en,desesperado,jubilado,largo,leve,respuesta_cadena,1.01,0.73,43,29700,google/gemma-4-e4b
fc36810f-151,reclamacion_calidad,,False,False,True,es,técnico,abogado,medio,limpio,respuesta_cadena,0.7,0.48,55,7819,deepseek/deepseek-r1-0528-qwen3-8b
cee114d2-c34,programa_fidelizacion,,False,False,False,es,informal,jubilado,medio,limpio,email_directo,0.85,0.72,70,89630,google/gemma-4-e4b
ef772c00-344,solicitud_cambio_tarifa,,False,True,False,es,confuso,jubilado,largo,leve,webform,0.98,0.73,49,44601,deepseek/deepseek-r1-0528-qwen3-8b
3c4eb8ce-d2d,spam_energia,,False,False,True,es,cortés,jubilado,largo,limpio,respuesta_cadena,0.9,0.63,67,73019,google/gemma-4-e4b
3ac1ba6c-431,cambio_domiciliacion,spam_energia,True,False,False,es,técnico,particular_enfadado,muy_corto,limpio,reenvio_tercero,1.04,0.7,30,23683,deepseek/deepseek-r1-0528-qwen3-8b
caf74ff4-df3,programa_fidelizacion,,False,False,False,es,confuso,abogado,medio,limpio,webform,0.89,0.74,78,17992,google/gemma-4-e4b
a629bbd9-ec3,reclamacion_factura,otro_irrelevante,True,False,False,es,formal,cliente_residencial,medio,leve,respuesta_cadena,1.03,0.52,66,96784,deepseek/deepseek-r1-0528-qwen3-8b
336726b3-585,averia_contador,,False,False,False,en,urgente,particular_enfadado,corto,leve,reenvio_tercero,0.69,0.54,37,18202,google/gemma-4-e4b
9be338f9-3a2,corte_suministro,,False,False,False,en,técnico,particular_enfadado,medio,leve,respuesta_cadena,0.67,0.55,78,89726,deepseek/deepseek-r1-0528-qwen3-8b
bfeff9ec-190,reclamacion_calidad,,False,False,False,es,formal,jubilado,corto,leve,respuesta_cadena,0.79,0.52,72,63497,google/gemma-4-e4b
274269d5-b37,reclamacion_factura,,False,False,False,es,cortés,autónomo,corto,limpio,webform,0.99,0.76,41,40957,deepseek/deepseek-r1-0528-qwen3-8b
f81665a3-31e,alta_consumo_anomalo,,False,False,False,es,formal,cliente_residencial,medio,leve,webform,0.67,0.34,48,35872,google/gemma-4-e4b
f8176d02-1cb,averia_contador,,False,False,False,es,técnico,autónomo,medio,leve,email_directo,0.75,0.47,76,10837,deepseek/deepseek-r1-0528-qwen3-8b
549a119e-42e,consulta_tarifas_pvpc,,False,False,False,es,técnico,autónomo,medio,limpio,reenvio_tercero,1.04,0.74,48,34370,google/gemma-4-e4b
5fe5d927-a27,alta_consumo_anomalo,respuesta_automatica,True,False,False,en,confuso,jubilado,medio,alto,app_movil,0.91,0.67,79,38476,deepseek/deepseek-r1-0528-qwen3-8b
36a9d82d-fc8,contrato_empresarial,emergencia_gas,True,False,False,es,técnico,autónomo,corto,limpio,email_directo,0.81,0.44,43,11758,google/gemma-4-e4b
928802e9-f64,incidencia_apagón,,False,False,True,es,informal,cliente_empresarial,muy_corto,limpio,app_movil,0.68,0.62,63,99381,deepseek/deepseek-r1-0528-qwen3-8b
24b5a9af-097,programa_fidelizacion,,False,False,False,en,cortés,cliente_residencial,muy_largo,limpio,respuesta_cadena,0.95,0.3,40,91162,google/gemma-4-e4b
7560c49c-13d,cambio_titular,,False,False,False,es,cortés,particular_enfadado,largo,limpio,respuesta_cadena,1.02,0.56,61,6818,deepseek/deepseek-r1-0528-qwen3-8b
fc924b30-4c7,emergencia_gas,,False,False,False,es,formal,jubilado,largo,limpio,email_directo,0.95,0.74,71,59985,google/gemma-4-e4b
3ba8cf75-7e7,fraude_energetico,,False,False,False,es,agresivo,abogado,medio,limpio,reenvio_tercero,0.7,0.6,71,90117,deepseek/deepseek-r1-0528-qwen3-8b
17923951-905,fuga_gas,fraude_energetico,True,False,False,es,técnico,particular_enfadado,medio,limpio,reenvio_tercero,0.86,0.74,50,7947,google/gemma-4-e4b
3ec89af3-056,corte_suministro,oferta_comercial,True,False,False,es,técnico,jubilado,medio,limpio,reenvio_tercero,0.81,0.34,78,10624,deepseek/deepseek-r1-0528-qwen3-8b
820545c2-316,cambio_titular,,False,False,False,es,informal,abogado,muy_largo,leve,reenvio_tercero,1.01,0.56,51,27872,google/gemma-4-e4b
d4136dc2-c72,factura_error,,False,False,False,es,informal,cliente_residencial,corto,limpio,webform,0.95,0.63,61,55715,deepseek/deepseek-r1-0528-qwen3-8b
73d706ed-267,consulta_autoconsumo,factura_duplicada,True,False,False,es,urgente,autónomo,medio,limpio,webform,0.97,0.32,74,57721,google/gemma-4-e4b
49913daf-99c,solicitud_nuevo_contrato,,False,False,False,es,cortés,cliente_empresarial,medio,leve,email_directo,0.82,0.72,31,86819,deepseek/deepseek-r1-0528-qwen3-8b
a89eb2bd-bfe,corte_suministro,,False,False,True,en,informal,autónomo,largo,leve,webform,0.66,0.42,64,90382,google/gemma-4-e4b
91ffc838-170,corte_suministro,oferta_comercial,True,False,False,es,agresivo,cliente_empresarial,corto,moderado,webform,0.95,0.72,68,61826,deepseek/deepseek-r1-0528-qwen3-8b
f45fd549-023,fraude_energetico,,False,False,True,es,técnico,jubilado,largo,limpio,reenvio_tercero,0.9,0.43,51,5563,google/gemma-4-e4b
c592c1d5-70a,alta_consumo_anomalo,,False,False,True,es,urgente,cliente_empresarial,corto,leve,webform,0.71,0.77,44,17415,deepseek/deepseek-r1-0528-qwen3-8b
b35c95e5-161,phishing_energia,reclamacion_calidad,True,False,True,es,agresivo,abogado,largo,limpio,webform,0.95,0.73,66,78040,google/gemma-4-e4b
b9f8aa20-f61,consulta_tarifas_pvpc,,False,False,False,en,formal,abogado,medio,alto,reenvio_tercero,0.71,0.71,55,99560,deepseek/deepseek-r1-0528-qwen3-8b
733850f1-bce,solicitud_nuevo_contrato,,False,True,False,es,agresivo,particular_enfadado,medio,moderado,app_movil,0.95,0.63,36,10526,google/gemma-4-e4b
acc5e1e9-c0f,fraude_energetico,,False,False,False,es,desesperado,cliente_empresarial,largo,alto,reenvio_tercero,0.94,0.49,61,86105,deepseek/deepseek-r1-0528-qwen3-8b
aa9f9bce-c7c,factura_error,,False,False,False,en,confuso,autónomo,muy_largo,limpio,respuesta_cadena,0.65,0.52,77,40096,google/gemma-4-e4b
03e083de-912,respuesta_automatica,,False,False,True,es,formal,particular_enfadado,medio,leve,reenvio_tercero,0.96,0.58,48,15115,deepseek/deepseek-r1-0528-qwen3-8b
f168b420-c0a,reclamacion_factura,,False,True,False,es,formal,jubilado,corto,moderado,reenvio_tercero,0.81,0.43,69,73223,google/gemma-4-e4b
4fe4b586-e91,cambio_domiciliacion,,False,False,False,es,urgente,autónomo,corto,limpio,email_directo,0.85,0.42,35,51744,deepseek/deepseek-r1-0528-qwen3-8b
63b46e4a-b00,corte_suministro,solicitud_cambio_tarifa,True,False,False,es,cortés,cliente_residencial,muy_corto,leve,respuesta_cadena,1.04,0.53,32,21457,google/gemma-4-e4b
c73c1bb0-913,consulta_autoconsumo,,False,False,False,en,informal,particular_enfadado,corto,leve,app_movil,1.02,0.55,57,64917,deepseek/deepseek-r1-0528-qwen3-8b
eafc58e2-9fd,consulta_autoconsumo,,False,True,False,es,técnico,abogado,largo,leve,respuesta_cadena,0.8,0.68,42,16434,google/gemma-4-e4b
41939547-053,newsletter,,False,False,True,es,confuso,cliente_empresarial,corto,limpio,app_movil,0.93,0.66,53,59009,deepseek/deepseek-r1-0528-qwen3-8b
0aa258fe-5c8,consulta_tarifas_pvpc,denuncia_proveedor,True,False,False,es,formal,autónomo,largo,limpio,email_directo,0.86,0.6,49,78643,google/gemma-4-e4b
9185b254-ae4,reclamacion_factura,,False,False,False,es,informal,particular_enfadado,medio,moderado,email_directo,0.98,0.61,78,35401,deepseek/deepseek-r1-0528-qwen3-8b
a8b95ee8-7da,solicitud_cambio_tarifa,,False,False,False,en,urgente,autónomo,largo,limpio,reenvio_tercero,0.78,0.72,47,15427,google/gemma-4-e4b
cadd17a8-9a0,solicitud_nuevo_contrato,,False,False,True,en,confuso,cliente_empresarial,corto,limpio,email_directo,0.84,0.33,33,81766,deepseek/deepseek-r1-0528-qwen3-8b
6c6fdc3c-5b4,consulta_autoconsumo,,False,False,False,es,confuso,cliente_residencial,largo,limpio,reenvio_tercero,0.69,0.57,42,11878,google/gemma-4-e4b
affa346c-419,cambio_titular,solicitud_aplazamiento,True,False,False,es,confuso,autónomo,corto,leve,respuesta_cadena,1.02,0.33,73,27896,deepseek/deepseek-r1-0528-qwen3-8b
dc54ad86-589,factura_error,,False,False,True,es,agresivo,abogado,corto,leve,respuesta_cadena,1.01,0.35,54,4178,google/gemma-4-e4b
7493de2a-30a,consulta_lectura_contador,,False,False,False,es,técnico,cliente_residencial,largo,limpio,webform,0.76,0.53,54,30351,deepseek/deepseek-r1-0528-qwen3-8b
696dc3ca-8c8,reclamacion_calidad,,False,False,False,es,formal,autónomo,corto,limpio,email_directo,0.88,0.49,71,5156,google/gemma-4-e4b
ad7b02f2-4ab,corte_suministro,,False,False,False,es,informal,particular_enfadado,largo,leve,email_directo,0.8,0.65,40,54700,deepseek/deepseek-r1-0528-qwen3-8b
d52bb147-fb6,consulta_tarifas_pvpc,,False,False,True,es,confuso,autónomo,medio,alto,respuesta_cadena,0.71,0.69,71,12440,google/gemma-4-e4b
5bd4db3c-356,corte_suministro,,False,False,False,es,formal,cliente_residencial,largo,limpio,app_movil,0.67,0.68,44,6332,deepseek/deepseek-r1-0528-qwen3-8b
fe8845bc-c6e,fuga_gas,,False,False,False,en,agresivo,cliente_empresarial,medio,limpio,email_directo,0.98,0.58,68,80769,google/gemma-4-e4b
dd448772-efc,averia_contador,,False,True,False,es,técnico,particular_enfadado,medio,limpio,email_directo,0.77,0.3,30,7805,deepseek/deepseek-r1-0528-qwen3-8b
ae19d247-671,fuga_gas,,False,False,False,en,formal,cliente_empresarial,medio,limpio,reenvio_tercero,0.86,0.31,49,37949,google/gemma-4-e4b
02985d3d-42d,solicitud_aplazamiento,,False,False,False,es,agresivo,particular_enfadado,medio,moderado,reenvio_tercero,1.01,0.39,57,96653,deepseek/deepseek-r1-0528-qwen3-8b
0f34edd7-3f4,incidencia_apagón,,False,False,False,es,informal,jubilado,muy_corto,limpio,app_movil,0.66,0.43,54,41375,google/gemma-4-e4b
b6fd3f10-598,corte_suministro,,False,False,False,es,urgente,autónomo,muy_corto,limpio,reenvio_tercero,0.87,0.52,76,43382,deepseek/deepseek-r1-0528-qwen3-8b
77256b2c-ee3,denuncia_proveedor,baja_contrato,True,False,False,es,confuso,cliente_residencial,muy_corto,limpio,webform,1.03,0.48,47,68636,google/gemma-4-e4b
39b1fc3d-b4c,solicitud_cambio_tarifa,,False,True,False,es,informal,abogado,medio,leve,webform,0.97,0.37,67,56395,deepseek/deepseek-r1-0528-qwen3-8b
3aafdd6d-ced,factura_error,,False,False,False,es,formal,particular_enfadado,muy_largo,limpio,webform,0.74,0.35,74,80122,google/gemma-4-e4b
